
           z        S/N=3.5      S/N=6       S/N=10

         0.15        45.78        91.56       183.12
         0.25        62.99       125.98       251.96
         0.35        89.36       178.72       357.44
         0.45       126.28       252.56       505.12
         0.55       147.04       294.08       588.16
         0.65       164.97       329.94       659.88
         0.75       176.56       353.12       706.24
         0.85       197.64       395.28       790.56
         0.95       238.21       476.42       952.84
         1.05       278.17       556.34      1112.68
         1.15       339.80       679.60      1359.20
         1.25       383.85       767.70      1535.40
         1.35       429.83       859.66      1719.32
         1.45       479.29       958.58      1917.16
         1.55       493.71       987.42      1974.84
         1.65       524.43      1048.86      2097.72
