#Slew duration vs. slew angle for WFIRST.
#Parameters:
#Maximum torque (N-m): 0.400
#Moment of inertia (pitch-yaw, kg-m^2):    32000
#Maximum angular rate (deg/sec):  0.120
#Maximum angular acceleration (rad/sec^2):    1.250e-05
#Rise time to reach maximum angular acceleration (sec):  2.000
#
#Slew types:
# 1 = Jerk-limited: acceleration never reaches maximum value.
# 2 = Acceleration-limited: angular rate never reaches maximum value.
# 3 = Rate-limited: angular rate does reach maximum value.
#
#
#Slew angle   Slew time   Slew+Settle   Slew type
# (degrees)   (seconds)    (seconds)
   0             13.8       23.8        2
   0.0250        13.8       23.8        2
   0.0500        18.7       28.8        2
   0.0750        22.5       32.5        2
   0.1000        25.6       35.7        2
   0.1250        28.4       38.5        2
   0.1500        30.9       41.1        2
   0.1750        33.3       43.4        2
   0.2000        35.4       45.6        2
   0.2250        37.4       47.7        2
   0.2500        39.4       49.6        2
   0.2750        41.2       51.5        2
   0.3000        42.9       53.2        2
   0.3250        44.6       54.9        2
   0.3500        46.2       56.6        2
   0.3750        47.8       58.1        2
   0.4000        49.3       59.7        2
   0.4250        50.7       61.1        2
   0.4500        52.1       62.6        2
   0.4750        53.5       64.0        2
   0.5000        54.8       65.3        2
   0.5250        56.1       66.7        2
   0.5500        57.4       68.0        2
   0.5750        58.7       69.2        2
   0.6000        59.9       70.5        2
   0.6250        61.1       71.7        2
   0.6500        62.3       72.9        2
   0.6750        63.4       74.1        2
   0.7000        64.5       75.2        2
   0.7250        65.6       76.4        2
   0.7500        66.7       77.5        2
   0.7750        67.8       78.6        2
   0.8000        68.8       79.6        2
   0.8250        69.9       80.7        2
   0.8500        70.9       81.8        2
   0.8750        71.9       82.8        2
   0.9000        72.9       83.8        2
   0.9250        73.9       84.8        2
   0.9500        74.8       85.8        2
   0.9750        75.8       86.8        2
   1.0000        76.7       87.7        2
   1.0000        76.7       87.7        2
   2.0000       107.7      119.7        2
   3.0000       131.4      144.4        2
   4.0000       151.5      165.5        2
   5.0000       169.1      184.1        2
   6.0000       185.1      201.1        2
   7.0000       199.7      216.7        2
   8.0000       213.4      231.4        2
   9.0000       226.2      245.2        2
  10.0000       238.3      258.3        2
  11.0000       249.9      269.9        2
  12.0000       260.9      280.9        2
  13.0000       271.5      291.5        2
  14.0000       281.6      301.6        2
  15.0000       291.4      311.4        2
  16.0000       300.9      320.9        2
  17.0000       310.1      330.1        2
  18.0000       319.1      339.1        2
  19.0000       327.8      347.8        2
  20.0000       336.2      356.2        2
  21.0000       344.6      364.6        3
  22.0000       352.9      372.9        3
  23.0000       361.2      381.2        3
  24.0000       369.6      389.6        3
  25.0000       377.9      397.9        3
  26.0000       386.2      406.2        3
  27.0000       394.6      414.6        3
  28.0000       402.9      422.9        3
  29.0000       411.2      431.2        3
  30.0000       419.6      439.6        3
  31.0000       427.9      447.9        3
  32.0000       436.2      456.2        3
  33.0000       444.6      464.6        3
  34.0000       452.9      472.9        3
  35.0000       461.2      481.2        3
  36.0000       469.6      489.6        3
  37.0000       477.9      497.9        3
  38.0000       486.2      506.2        3
  39.0000       494.6      514.6        3
  40.0000       502.9      522.9        3
  41.0000       511.2      531.2        3
  42.0000       519.6      539.6        3
  43.0000       527.9      547.9        3
  44.0000       536.2      556.2        3
  45.0000       544.6      564.6        3
  46.0000       552.9      572.9        3
  47.0000       561.2      581.2        3
  48.0000       569.6      589.6        3
  49.0000       577.9      597.9        3
  50.0000       586.2      606.2        3
  51.0000       594.6      614.6        3
  52.0000       602.9      622.9        3
  53.0000       611.2      631.2        3
  54.0000       619.6      639.6        3
  55.0000       627.9      647.9        3
  56.0000       636.2      656.2        3
  57.0000       644.6      664.6        3
  58.0000       652.9      672.9        3
  59.0000       661.2      681.2        3
  60.0000       669.6      689.6        3
  61.0000       677.9      697.9        3
  62.0000       686.2      706.2        3
  63.0000       694.6      714.6        3
  64.0000       702.9      722.9        3
  65.0000       711.2      731.2        3
  66.0000       719.6      739.6        3
  67.0000       727.9      747.9        3
  68.0000       736.2      756.2        3
  69.0000       744.6      764.6        3
  70.0000       752.9      772.9        3
  71.0000       761.2      781.2        3
  72.0000       769.6      789.6        3
  73.0000       777.9      797.9        3
  74.0000       786.2      806.2        3
  75.0000       794.6      814.6        3
  76.0000       802.9      822.9        3
  77.0000       811.2      831.2        3
  78.0000       819.6      839.6        3
  79.0000       827.9      847.9        3
  80.0000       836.2      856.2        3
  81.0000       844.6      864.6        3
  82.0000       852.9      872.9        3
  83.0000       861.2      881.2        3
  84.0000       869.6      889.6        3
  85.0000       877.9      897.9        3
  86.0000       886.2      906.2        3
  87.0000       894.6      914.6        3
  88.0000       902.9      922.9        3
  89.0000       911.2      931.2        3
